Process,Processpath,DLL,DllHash,Signature
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\kernel.appcore.dll,CA954AC516F91F28301378214335FF808D0E9331018A6474DFAA25D18D0FD6A8,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\KERNEL32.DLL,A4E40C348031047B966C18F2761EE0460A226905721D2F29327528CB2B213CB1,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\KERNELBASE.dll,E91161625A4EAEDD062532C55486F1336C60267EBD50043A209843C4D1902EF8,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\keyiso.dll,83107A1D17D215EE4B8675C4C9B0EE7D2D847D40938001ABC1846EC72ABE1388,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\logoncli.dll,3EC5DF3F8006252BA816973B5F77009F3920D235B6FB9A812D6A116F8852BE61,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\lsasrv.dll,125659572EC4631A21BD2575C866D22EA2A49F4AAA4DD790F2333AFAB8CA889C,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\lsass.exe,BBC83E4759D4B82BAD31E371AD679AA414C72273BF97CEE5AED8337ED8A4D79F,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\MPR.dll,B2895B93A392CE20DF7DE8C20EF97DB922903549D7BBC0FF583543AF6932A36C,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\MSASN1.dll,DC1C77C7DEC3271B9AA2F136E0262E49770B586458F89CFDBA48D3DC4B5425C0,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\mskeyprotect.dll,BFB9E796C4311FDCE52317F98F1D7DC8DD23AC8C2C62F65D86EFF60CC82CB738,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\msprivs.DLL,C4B73721500EF492C8BAFD2BB4EEF4C989C64A8B8E8A37C7314E2860A0ADCC9B,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\msv1_0.DLL,FBEC9A7640EE0E7761622C8F3C306BFE48AB242A9F1DF80C406438AD228AB056,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\msvcp_win.dll,E8D763341FF4395CD5E3B503490F53B3349A122148C01ED5AA1450528AD4931E,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\msvcrt.dll,23008F528D0039B3590E54246A9A332F66EF691E207B1221F8C2F0B19F9B85ED,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\mswsock.dll,32B249CB9D7A76AC9AB0D9254256268353E128FC429AD09543217F58E0C2AC84,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\ncrypt.dll,78CAA858F31D6514BEF3AF9B2FA374F6FB1F0650B7DD381148447A834BD88ED2,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\ncryptprov.dll,A5A2D1E14273A3648A0C22BE05D0C2ABE8AF0BF67333311F1FDDC542A4F3049E,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\ncryptsslp.dll,B0A46CE25DDC4F4374EC59D310397A03737CACD3C8416E766DFBF935CDED1FD3,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\negoexts.DLL,8778EB7D3A1E0076924F85A08E3B69A4D48F42AC572D8CB89511C507BCA57771,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\netlogon.DLL,70A7EC72427D9BBF008ADEF412B09EFD4ACE3A95538327B77A19F9619FBC3BA5,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\netprovfw.dll,3FC22547F75CF6F1B8732297D6F381E6916285B989D403FC5FD4026536E36AA0,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\netutils.dll,FA48DDB46AA0B5CD64AC0D9FEBA77A94CF0A0DA554ACB9DC9C80FB8104414C2D,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\ngclocal.dll,98980AAF7AA933C6F65FC183C657A2F1DF758D08EAECD71FD131B1098DC1C189,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\NSI.dll,28176CB9C7E4436BDD29C5CAACB82EF981AEA4DC5780B46A272FD12A96720B97,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\NTASN1.dll,ADF2CAD7E6705B318034390898F74CFC73EAB40652019CA698843A4EEF7BE95C,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\ntdll.dll,5B58F50147A78AB76127030D8AD745AC2EC1BDE2487BF379430A6E8A79A20CC2,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\NtlmShared.dll,A1FD284BEC7A41EF20D1FDA6472EF83656E597B35E7B3B74DA7FB82AF52A6841,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\pku2u.DLL,E22FE684A8C86CBF832B59B15CC4B37338F7862A6D1BC906606C09E835E1F9D2,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\powrprof.dll,F9C97CFFAB7D3A61175F902CF0062CA945BC8CECFC825BF3B6096864855D43D9,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\profapi.dll,14B733E344394B1C5753AF0E58026B50BCFB19868F9380197442FDABA4BC974E,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\RPCRT4.dll,74656439887E9D377BA5F1FBC8E0D71795B5A59EC190DE014F83D5C3D20CF308,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\rsaenh.dll,4B925FCAF87C3D539292319AB9BAE6EABF2FEA5B7A7FDB364BC2648E1B5F6AE8,NULL
lsass,C:\windows\system32\lsass.exe,c:\windows\system32\SAMLIB.dll,5C081543E589365A9805B3AB8CC40828D8EB7A6F58609BEF15FDC7F0286E9225,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\samsrv.dll,EFBD46C411ADB350EEB99B5BBB6E6BC26DA8D144A231FB61F53B0794395560C1,NULL
lsass,C:\windows\system32\lsass.exe,c:\windows\system32\SCECLI.dll,B565D52A95D310B0429CE0EB701B29A17941212D562E1EC6DC451F2196DA7B14,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\schannel.DLL,CD8DBC2B6D5B2DA26E5AAC58E211D7469712374FD886BD8CCDF635E456D90581,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\sechost.dll,1690C0AF6E6AA9925AC75DA610053AEB50F060A872A702F8F97AF3B5B79CFA7B,NULL
lsass,C:\windows\system32\lsass.exe,C:\Windows\System32\SecureTimeAggregator.dll,CE3343A8C910C12833302458B06725B4E8EB5C816CF9219AC1AC3D7CB5862D7B,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\shcore.dll,462083FAF17D701F8F337B73F09A60A8CB0643AED8B050873B45B73BCA4D7486,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\sspicli.dll,FF5277B0C9BDF1F6E63037846A3D24F931BFD26D18C05CABEC5C6CD2AE05430D,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\SspiSrv.dll,508C25D16ADD709D638C063F5C519B7D925A80E72129A3C9F56B543D5D9A6D44,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\tspkg.DLL,B6D50B26DC1F00B493B4DBA6C6D9A800DF705862527E4FF15127FF71291DD428,NULL
